# name	type	package	section	arguments
*filer-path-masks*	Variable	editor	filer	-
*filer-primary-directory*	Variable	editor	filer	-
*filer-primary-file-mask*	Variable	editor	filer	-
*filer-retrieve-icon*	Variable	editor	filer	-
*filer-secondary-directory*	Variable	editor	filer	-
*filer-secondary-file-mask*	Variable	editor	filer	-
*filer-show-hidden-files*	Variable	editor	filer	-
*filer-show-system-files*	Variable	editor	filer	-
*filer-use-recycle-bin*	Variable	editor	filer	-
*filer-use-shell-file-operation*	Variable	editor	filer	-
*find-buffer-package-hook*	Variable	editor	variables	-
*find-file-auto-encoding-use-utf8n*	Variable	editor	modes	-
*find-file-auto-mode-function*	Variable	editor	modes	-
*find-file-file-not-found-hook*	Variable	editor	variables	-
*find-file-hooks*	Variable	editor	filesystem	-
*find-file-no-auto-encoding*	Variable	editor	filesystem	-
*find-file-read-only-hook*	Variable	editor	filesystem	-
*find-other-file-requires-file-name*	Variable	editor	filesystem	-
*full-keymap-length*	Variable	editor	keymaps	-
*gensym-counter*	Variable	lisp	symbols	-
*global-abbrev-table*	Variable	editor	text	-
*global-keymap*	Variable	editor	keymaps	-
*gmark-keep-column*	Variable	editor	positions	-
*grep-directory-name-hook*	Variable	editor	variables	-
*grep-hook*	Variable	editor	variables	-
*grep-ignored-directories*	Variable	editor	variables	-
*grepd-hook*	Variable	editor	variables	-
*gresreg-directory-name-hook*	Variable	editor	variables	-
*history-file-name*	Variable	editor	variables	-
*ime-mode-hook*	Variable	editor	modes	-
*inhibit-quit*	Variable	editor	variables	-
*init-app-menus-hook*	Variable	editor	menus	-
*isearch-scanner-hook*	Variable	editor	search-regexp	-
*kbd-translate-table*	Variable	editor	keymaps	-
*keyboard*	Variable	editor	io	-
*keyword-load-path*	Variable	editor	variables	-
*kill-buffer-kills-scratch*	Variable	editor	variables	-
*kill-ring*	Variable	editor	regions	-
*kill-ring-max*	Variable	editor	regions	-
*kill-xyzzy-hook*	Variable	editor	variables	-
*last-command*	Variable	editor	variables	-
*lisp-popup-completion-list*	Variable	editor	variables	-
*load-history-hook*	Variable	editor	variables	-
*load-path*	Variable	lisp	variables	-
*load-pathname*	Variable	lisp	filesystem	-
*local-abbrev-table*	BufferLocal	editor	text	-
*make-backup-filename-hook*	Variable	editor	variables	-
*menu-display-length*	Variable	editor	variables	-
*minibuffer-buffer-name-history*	Variable	editor	variables	-
*minibuffer-directory-name-history*	Variable	editor	variables	-
*minibuffer-execute-history*	Variable	editor	variables	-
*minibuffer-file-name-history*	Variable	editor	variables	-
*minibuffer-lisp-sexp-history*	Variable	editor	variables	-
*minibuffer-popup-completion-list*	Variable	editor	minibuffer	-
*minibuffer-save-ime-status*	Variable	editor	minibuffer	-
*minibuffer-search-string-history*	Variable	editor	variables	-
*minibuffer-symbol-name-history*	Variable	editor	variables	-
*minor-mode-alist*	Variable	editor	modes	-
*modal-filer-save-position*	Variable	editor	filer	-
*modal-filer-save-size*	Variable	editor	filer	-
*modules*	Variable	lisp	system	-
*move-forward-after-undo-deletion*	Variable	editor	buffers	-
*multi-cursor-local-variables*	Variable	editor	variables	-
*multi-cursor-no-repeat-commands*	Variable	editor	variables	-
*next-buffer-in-tab-order*	Variable	editor	buffers	-
*next-pseudo-frame-in-tab-order*	Variable	editor	windows	-
*next-screen-context-lines*	Variable	editor	windows	-
*package*	Variable	lisp	packages	-
*page-scroll-half-window*	Variable	editor	windows	-
*page-scroll-keep-window-position*	Variable	editor	positions	-
*popup-completion-list-default*	Variable	editor	misc	-
*post-command-hook*	Variable	editor	variables	-
*post-startup-hook*	Variable	editor	variables	-
*pre-abbrev-expand-hook*	Variable	editor	variables	-
*pre-command-hook*	Variable	editor	variables	-
*pre-startup-hook*	Variable	editor	variables	-
*prefix-args*	Variable	editor	variables	-
*prefix-value*	Variable	editor	variables	-
*print-circle*	Variable	lisp	variables	-
*print-completion-list-hook*	Variable	editor	variables	-
*print-completion-sort-function*	Variable	editor	variables	-
*print-length*	Variable	lisp	variables	-
*print-option-show-dialog*	Variable	editor	misc	-
*print-pretty*	Variable	lisp	variables	-
*process-command-line-hook*	Variable	editor	system	-
*pseudo-frame-bar-context-menu*	Variable	editor	frames	-
*pseudo-frame-bar-context-menu-frame*	Variable	editor	frames	-
*pseudo-frame-bar-context-menu-handler*	Variable	editor	frames	-
*query-kill-buffer-hook*	Variable	editor	variables	-
*query-kill-xyzzy-hook*	Variable	editor	variables	-
*quotation-prefix*	Variable	editor	text	-
*random-state*	Variable	lisp	numbers	-
*read-eval*	Variable	lisp	variables	-
*read-only-if-unmappable*	Variable	editor	variables	-
*readtable*	Variable	lisp	io	-
*rectangle-kill-buffer*	Variable	editor	regions	-
*save-buffer-no-filenames-hook*	Variable	editor	variables	-
*save-history*	Variable	editor	variables	-
*save-history-hook*	Variable	editor	variables	-
*save-resume-info*	Variable	editor	variables	-
*scroll-bar-step*	Variable	editor	windows	*scroll-bar-step*
*select-pseudo-frame-hook*	Variable	editor	windows	-
*selection-ring*	Variable	editor	regions	-
*show-cursor-line-always*	Variable	editor	buffers	-
*show-match-hook*	Variable	editor	variables	-
*show-matched-parenthesis*	Variable	editor	buffers	-
*smart-indentation*	Variable	editor	positions	-
*standard-input*	Variable	lisp	io	-
*standard-output*	Variable	lisp	io	-
*status-bar-format*	Variable	editor	windows	-
*std-control-default-char*	Variable	editor	dialogs	-
*std-control-down-char*	Variable	editor	dialogs	-
*std-control-next-char*	Variable	editor	dialogs	-
*std-control-prior-char*	Variable	editor	dialogs	-
*std-control-up-char*	Variable	editor	dialogs	-
*sync-kill-ring-with-clipboard*	Variable	editor	variables	-
*tab-bar-horizontal-text*	Variable	editor	menus	-
*tab-bar-multi-row*	Variable	editor	menus	-
*tab-bar-never-focus*	Variable	editor	menus	-
*tail-f-mode-hook*	Variable	editor	modes	-
*this-command*	Variable	editor	variables	-
*unicode-to-half-width*	Variable	editor	characters	-
*update-applier-name*	Variable	editor	misc	*update-applier-name*
*update-manifest-url*	Variable	editor	misc	*update-manifest-url*
*wrap-search*	Variable	editor	search-regexp	-
*xyzzyenv-show-flag*	Variable	editor	variables	-
+	Function	lisp	numbers	+ &rest NUMBERS
-	Function	lisp	numbers	- NUMBER &rest MORE-NUMBERS
/	Function	lisp	numbers	/ NUMBER &rest MORE-NUMBERS
/=	Function	lisp	numbers	/= NUMBER &rest MORE-NUMBERS
1+	Function	lisp	numbers	1+ NUM
1-	Function	lisp	numbers	1- NUM
:case-fold	Keyword	keyword	variables	-
:key	Keyword	keyword	variables	-
:no-dup	Keyword	keyword	variables	-
:regexp	Keyword	keyword	variables	-
:reverse	Keyword	keyword	variables	-
:right-bound	Keyword	keyword	variables	-
:tail	Keyword	keyword	variables	-
:test	Keyword	keyword	variables	-
:test-not	Keyword	keyword	variables	-
<	Function	lisp	numbers	< NUMBER &rest MORE-NUMBERS
<=	Function	lisp	numbers	<= NUMBER &rest MORE-NUMBERS
=	Function	lisp	numbers	= NUMBER &rest MORE-NUMBERS
>	Function	lisp	numbers	> NUMBER &rest MORE-NUMBERS
>=	Function	lisp	numbers	>= NUMBER &rest MORE-NUMBERS
``'(backquote)	Misc	-	macros	form
abbrev-mode	Function	editor	modes	abbrev-mode &optional (ARG () SV)
abbreviate-display-string	Function	editor	strings	abbreviate-display-string STRING LENGTH &optional PATHNAMEP
abs	Function	lisp	numbers	abs NUMBER
acons	Function	lisp	lists	acons KEY DATUM A-LIST
acos	Function	lisp	numbers	acos NUMBER
acosh	Function	lisp	numbers	acosh Z
activate-xyzzy-window	Function	editor	processes	activate-xyzzy-window INSTANCE
add-file-history-to-menu	Function	editor	misc	add-file-history-to-menu
add-history	Function	editor	variables	add-history ITEM VAR
add-hook	Function	editor	modes	add-hook HOOK FN &optional APPEND
add-menu-item	Function	editor	menus	add-menu-item MENU TAG NAME &optional COMMAND INIT
add-menu-separator	Function	editor	menus	add-menu-separator MENU &optional TAG
add-popup-menu	Function	editor	menus	add-popup-menu MENU POPUP-MENU NAME
adjoin	Function	lisp	lists	adjoin ITEM LIST &key :test :test-not :key
adjustable-array-p	Function	lisp	arrays	adjustable-array-p ARRAY
admin-user-p	Function	editor	system	admin-user-p
alpha-char-p	Function	lisp	datatypes	alpha-char-p CHAR
alphanumericp	Function	lisp	datatypes	alphanumericp CHAR
and	Macro	lisp	control-flow	and &rest FORMS
append	Function	lisp	lists	append &rest LISTS
append-file	Function	editor	filesystem	append-file FILENAME &optional NOMSG CHAR-ENCODING EOL-CODE
append-rectangle	Function	editor	regions	append-rectangle
append-to-register	Function	editor	regions	append-to-register R START END &optional DELETE
append-trail-slash	Function	editor	filesystem	append-trail-slash STRING
apply	Function	lisp	evaluation	apply FUNCTION ARG &rest MORE-ARGS
apps-popup	Function	editor	menus	apps-popup
apropos	Function	editor	symbols	apropos STRING &optional PRINT-KEY PRED
archiver-dll-config-dialog	Function	editor	filesystem	archiver-dll-config-dialog DLL &optional MODE
archiver-dll-version	Function	editor	filesystem	archiver-dll-version DLL
aref	Accessor	lisp	arrays	aref ARRAY &rest SUBSCRIPTS
array-dimension	Function	lisp	arrays	array-dimension ARRAY AXIS-NUMBER
array-dimensions	Function	lisp	arrays	array-dimensions ARRAY
array-element-type	Function	lisp	arrays	array-element-type ARRAY
array-has-fill-pointer-p	Function	lisp	arrays	array-has-fill-pointer-p ARRAY
array-rank	Function	lisp	arrays	array-rank ARRAY
array-row-major-index	Function	lisp	arrays	array-row-major-index ARRAY &rest SUBSCRIPTS
array-total-size	Function	lisp	arrays	array-total-size ARRAY
arrayp	Function	lisp	datatypes	arrayp OBJECT
ash	Function	lisp	numbers	ash INTEGER COUNT
asin	Function	lisp	numbers	asin NUMBER
asinh	Function	lisp	numbers	asinh Z
assoc	Function	lisp	lists	assoc ITEM A-LIST &key :test :test-not :key
assoc-if	Function	lisp	lists	assoc-if PREDICATE A-LIST &key :key
assoc-if-not	Function	lisp	lists	assoc-if-not PREDICATE A-LIST &key :key
atan	Function	lisp	numbers	atan Y &optional X
atanh	Function	lisp	numbers	atanh Z
atom	Function	lisp	datatypes	atom OBJECT
auto-fill-hook	Variable	editor	variables	-
auto-fill-mode	Function	editor	text	auto-fill-mode &optional (ARG () SARG)
auto-save	BufferLocal	editor	variables	-
autoload	Function	lisp	functions	autoload FN FILE &optional COMMANDP MACROP
autoload-function-p	Function	lisp	functions	autoload-function-p DEF
back-to-indentation	Function	editor	positions	back-to-indentation
backup-by-copying	BufferLocal	editor	buffers	-
backward-char	Function	editor	positions	backward-char &optional (N 1)
backward-delete-char-untabify	Function	editor	text	backward-delete-char-untabify &optional (ARG 1)
backward-delete-char-untabify-or-selection	Function	editor	text	backward-delete-char-untabify-or-selection &optional (N 1)
backward-kill-paragraph	Function	editor	regions	backward-kill-paragraph &optional (ARG 1)
backward-kill-word	Function	editor	regions	backward-kill-word &optional (ARG 1)
backward-line	Function	editor	positions	backward-line &optional (N 1)
backward-page	Function	editor	positions	backward-page &optional (ARG 1)
backward-paragraph	Function	editor	positions	backward-paragraph &optional (ARG 1)
backward-sexp	Function	editor	buffers	backward-sexp &optional (ARG 1) NOERROR
backward-virtual-line	Function	editor	positions	backward-virtual-line &optional (N 1)
backward-word	Function	editor	positions	backward-word &optional (N 1)
base64-decode-region	Function	editor	regions	base64-decode-region FROM TO
base64-decode-region-to-file	Function	editor	regions	base64-decode-region-to-file FILENAME FROM TO
beginning-of-buffer	Function	editor	positions	beginning-of-buffer
beginning-of-defun	Function	editor	functions	beginning-of-defun &optional (ARG 1)
beginning-of-line	Function	editor	positions	beginning-of-line
beginning-of-virtual-line	Function	editor	positions	beginning-of-virtual-line
block	Special Form	lisp	control-flow	block NAME {FORM}*
bobp	Function	editor	positions	bobp
bolp	Function	editor	positions	bolp
both-case-p	Function	lisp	characters	both-case-p CHAR
boundp	Function	lisp	symbols	boundp SYMBOL
broadcast-stream-streams	Function	lisp	io	broadcast-stream-streams BROADCAST-STREAM
BS と C-h に別々の機能を割り当てるには？	Tips	-	keymaps	-
buffer-can-redo-p	Function	editor	buffers	buffer-can-redo-p BUFFER
buffer-can-undo-p	Function	editor	buffers	buffer-can-undo-p BUFFER
buffer-eol-code	Function	editor	buffers	buffer-eol-code &optional BUFFER
buffer-fileio-encoding	Function	editor	buffers	buffer-fileio-encoding &optional BUFFER
buffer-fold-width	Function	editor	text	buffer-fold-width &optional BUFFER
buffer-lines	Function	editor	buffers	buffer-lines &optional BUFFER
buffer-list	Function	editor	buffers	buffer-list &key :buffer-bar-order
buffer-local-value	Function	editor	buffers	buffer-local-value BUFFER SYMBOL
buffer-menu	Function	editor	buffers	buffer-menu
buffer-mode	BufferLocal	editor	buffers	-
buffer-modified-count	Function	editor	buffers	buffer-modified-count &optional BUFFER
buffer-modified-p	Function	editor	buffers	buffer-modified-p &optional BUFFER
buffer-name	Function	editor	buffers	buffer-name BUFFER
buffer-process	Function	editor	buffers	buffer-process BUFFER
buffer-read-only	BufferLocal	editor	variables	-
buffer-selector	Function	editor	buffers	buffer-selector
buffer-size	Function	editor	buffers	buffer-size &optional BUFFER
buffer-stream-buffer	Function	editor	io	buffer-stream-buffer STREAM
buffer-stream-p	Function	editor	io	buffer-stream-p STREAM
buffer-stream-point	Function	editor	io	buffer-stream-point STREAM
buffer-stream-set-point	Function	editor	io	buffer-stream-set-point STREAM POINT
buffer-substring	Function	editor	strings	buffer-substring FROM TO &optional BUFFER
buffer-unmappable-count	BufferLocal	editor	variables	-
bufferp	Function	editor	buffers	bufferp OBJECT
bury-buffer	Function	editor	buffers	bury-buffer &optional BUFFER
butlast	Function	lisp	lists	butlast LIST &optional (N 1)
byte	Function	lisp	numbers	byte SIZE POSITION
byte-position	Function	lisp	numbers	byte-position BYTESPEC
byte-size	Function	lisp	numbers	byte-size BYTESPEC
C-z でアイコン化させるには？	Tips	-	misc	-
caaaar	Function	lisp	lists	caaaar X
caaadr	Function	lisp	lists	caaadr X
caaar	Function	lisp	lists	caaar X
caadar	Function	lisp	lists	caadar X
caaddr	Function	lisp	lists	caaddr X
caadr	Function	lisp	lists	caadr X
caar	Function	lisp	lists	caar X
cadaar	Function	lisp	lists	cadaar X
cadadr	Function	lisp	lists	cadadr X
cadar	Function	lisp	lists	cadar X
caddar	Function	lisp	lists	caddar X
cadddr	Function	lisp	lists	cadddr X
caddr	Function	lisp	lists	caddr X
cadr	Function	lisp	lists	cadr X
calendar	Function	editor	datetime	calendar &optional YEAR
call-arguments-limit	Variable	lisp	variables	-
call-interactively	Function	editor	evaluation	call-interactively COMMAND &optional HOOK
call-last-kbd-macro	Function	editor	macros	call-last-kbd-macro &optional (ARG 1)
call-menu	Function	editor	menus	call-menu N
call-process	Function	editor	processes	call-process COMMAND-LINE &key :environ :no-std-handles :input :output :error :exec-directory :show :wait
capitalize-region	Function	editor	regions	capitalize-region FROM TO
capitalize-word	Function	editor	strings	capitalize-word &optional (ARG 1)
car	Function	lisp	lists	car LIST
case	Macro	lisp	control-flow	case KEYFORM &rest FORMS
catch	Special Form	lisp	control-flow	catch TAG {FORM}*
cd	Function	editor	filesystem	cd DIRECTORY
cdaaar	Function	lisp	lists	cdaaar X
cdaadr	Function	lisp	lists	cdaadr X
cdaar	Function	lisp	lists	cdaar X
cdadar	Function	lisp	lists	cdadar X
cdaddr	Function	lisp	lists	cdaddr X
cdadr	Function	lisp	lists	cdadr X
cdar	Function	lisp	lists	cdar X
cddaar	Function	lisp	lists	cddaar X
cddadr	Function	lisp	lists	cddadr X
cddar	Function	lisp	lists	cddar X
cdddar	Function	lisp	lists	cdddar X
cddddr	Function	lisp	lists	cddddr X
cdddr	Function	lisp	lists	cdddr X
cddr	Function	lisp	lists	cddr X
cdr	Function	lisp	lists	cdr LIST
ceiling	Function	lisp	numbers	NUMBER &optional DIVISOR
char	Function	lisp	strings	char STRING INDEX
char-after	Function	editor	characters	char-after POINT &optional NOT-USED
char-before	Function	editor	characters	char-before POINT &optional NOT-USED
char-code	Function	lisp	characters	char-code CHAR
char-code-limit	Variable	lisp	variables	-
char-columns	Function	editor	characters	char-columns CHAR
char-downcase	Function	lisp	characters	char-downcase CHAR
char-encoding-display-name	Function	editor	text	char-encoding-display-name ENCODING
char-encoding-language	Function	editor	text	char-encoding-language ENCODING
char-encoding-name	Function	editor	text	char-encoding-name ENCODING
char-encoding-p	Function	editor	text	char-encoding-p OBJECT
char-encoding-signature	Function	editor	text	char-encoding-signature ENCODING
char-encoding-type	Function	editor	text	char-encoding-type ENCODING
char-equal	Function	lisp	characters	char-equal CHARACTER &rest MORE-CHARACTERS
char-greaterp	Function	lisp	characters	char-greaterp CHARACTER &rest MORE-CHARACTERS
char-lessp	Function	lisp	characters	char-lessp CHARACTER &rest MORE-CHARACTERS
char-name	Function	editor	characters	char-name C
char-not-equal	Function	lisp	characters	char-not-equal CHARACTER &rest MORE-CHARACTERS
char-not-greaterp	Function	lisp	characters	char-not-greaterp CHARACTER &rest MORE-CHARACTERS
char-not-lessp	Function	lisp	characters	char-not-lessp CHARACTER &rest MORE-CHARACTERS
char-unicode	Function	editor	characters	char-unicode CHAR
char-upcase	Function	lisp	characters	char-upcase CHAR
char/=	Function	lisp	characters	char/= CHARACTER &rest MORE-CHARACTERS
char<	Function	lisp	characters	char< CHARACTER &rest MORE-CHARACTERS
char<=	Function	lisp	characters	char<= CHARACTER &rest MORE-CHARACTERS
char=	Function	lisp	characters	char= CHARACTER &rest MORE-CHARACTERS
char>	Function	lisp	characters	char> CHARACTER &rest MORE-CHARACTERS
char>=	Function	lisp	characters	char>= CHARACTER &rest MORE-CHARACTERS
character	Function	lisp	characters	character OBJECT
characterp	Function	lisp	datatypes	characterp OBJECT
chdir	Function	editor	filesystem	chdir &optional DIRNAME
check-for-update	Function	editor	misc	check-for-update
check-type	Macro	lisp	datatypes	check-type PLACE TYPESPEC &optional STRING
check-valid-pathname	Function	lisp	filesystem	check-valid-pathname PATHNAME
cis	Function	lisp	numbers	cis Z
clear-all-text-attributes	Function	editor	text	clear-all-text-attributes
clear-all-text-colors	Function	editor	text	clear-all-text-colors
clear-input	Function	lisp	io	clear-input &optional INPUT-STREAM
clear-message	Function	editor	io	clear-message
clear-minibuffer-message	Function	editor	minibuffer	clear-minibuffer-message
clear-rectangle	Function	editor	regions	clear-rectangle P1 P2
clear-rectangle-selection	Function	editor	regions	clear-rectangle-selection
clear-reverse-region	Function	editor	regions	clear-reverse-region
clear-undo-boundary	Function	editor	buffers	clear-undo-boundary &optional BUFFER
close	Function	lisp	io	close STREAM &key :abort
close-session	Function	editor	buffers	close-session &optional NOASK (CREATE-NEW t) (FN #'write-file)
close-session-dialog	Function	editor	buffers	close-session-dialog &optional NOASK
clrhash	Function	lisp	hashtables	clrhash HASH-TABLE
code-char	Function	lisp	characters	code-char CODE
coerce	Function	lisp	datatypes	coerce OBJECT TYPE
command-apropos	Function	editor	symbols	command-apropos STRING
command-execute	Function	editor	evaluation	command-execute COMMAND &optional HOOK
command-keys	Function	editor	keymaps	command-keys COMMAND GLOBAL-KEYMAP LOCAL-KEYMAP &optional MINOR-MODE-KEYMAPS
command-output-alternate-send-input	Function	editor	processes	command-output-alternate-send-input
command-output-mode	Function	editor	processes	command-output-mode
command-output-send-input	Function	editor	processes	command-output-send-input &optional EOL
commandp	Function	editor	functions	commandp OBJECT
compare-buffer-substrings	Function	editor	strings	compare-buffer-substrings BUFFER1 START1 END1 BUFFER2 START2 END2 &optional CASE-FOLD
compile-file-pathname	Function	lisp	filesystem	compile-file-pathname PATHNAME
compile-regexp	Function	editor	search-regexp	compile-regexp REGEXP &optional CASE-FOLD
compile-regexp すると一応高速化されるんでしょうか？	Tips	-	search-regexp	-
compile-regexp-keyword-list	Function	editor	search-regexp	compile-regexp-keyword-list LIST
compiled-function-p	Function	lisp	datatypes	compiled-function-p OBJECT
compiled-regexp-case-fold-p	Function	editor	search-regexp	compiled-regexp-case-fold-p REGEXP
compiled-regexp-source	Function	editor	search-regexp	compiled-regexp-source REGEXP
complement	Function	lisp	sequences	complement FN
completing-read	Function	editor	minibuffer	completing-read PROMPT COMPLETIONS &key :case-fold :default :history :must-match
complex	Function	lisp	numbers	complex REALPART &optional IMAGPART
complexp	Function	lisp	datatypes	complexp OBJECT
concat	Function	editor	strings	concat &rest SEQ
concatenate	Function	lisp	sequences	concatenate RESULT-TYPE &rest SEQUENCES
concatenated-stream-streams	Function	lisp	io	concatenated-stream-streams CONCATENATED-STREAM
cond	Macro	lisp	control-flow	cond &rest FORMS
conjugate	Function	lisp	numbers	conjugate NUMBER
connect	Function	editor	io	connect HOSTNAME SERVICE &key :encoding :ssl (:ssl-verify-mode :peer)
cons	Function	lisp	lists	cons X Y
consp	Function	lisp	datatypes	consp OBJECT
constantp	Function	lisp	variables	constantp OBJECT
continue-popup	Function	editor	misc	continue-popup
convert-encoding-from-internal	Function	editor	misc	convert-encoding-from-internal ENCODING INPUT-STRING-OR-STREAM &optional OUTPUT-STREAM
convert-encoding-to-internal	Function	editor	misc	convert-encoding-to-internal ENCODING INPUT-STRING-OR-STREAM &optional OUTPUT-STREAM
copy-alist	Function	lisp	lists	copy-alist LIST
copy-file	Function	lisp	filesystem	copy-file FILE NEW-FILE &key :if-exists :copy-attributes :if-access-denied
copy-keymap	Function	editor	keymaps	copy-keymap MAP
copy-list	Function	lisp	lists	copy-list LIST
copy-menu-items	Function	editor	menus	copy-menu-items OLD-MENU NEW-MENU
copy-readtable	Function	lisp	io	copy-readtable &optional FROM-READTABLE TO-READTABLE
copy-rectangle	Function	editor	regions	copy-rectangle P1 P2
copy-rectangle-selection	Function	editor	regions	copy-rectangle-selection
copy-rectangle-selection-to-clipboard	Function	editor	regions	copy-rectangle-selection-to-clipboard
copy-rectangle-to-register	Function	editor	regions	copy-rectangle-to-register R START END &optional DELETE
copy-region-as-kill	Function	editor	regions	copy-region-as-kill FROM TO
copy-region-to-clipboard	Function	editor	regions	copy-region-to-clipboard FROM TO
copy-selection	Function	editor	regions	copy-selection
copy-selection-to-clipboard	Function	editor	regions	copy-selection-to-clipboard
copy-seq	Function	lisp	sequences	copy-seq SEQUENCE
copy-string	Function	lisp	strings	copy-string STRING
copy-symbol	Function	lisp	symbols	copy-symbol SYMBOL &optional COPY-PROPS
copy-syntax-table	Function	editor	syntax	copy-syntax-table FROM-SYNTAX-TABLE TO-SYNTAX-TABLE
copy-to-clipboard	Function	editor	system	copy-to-clipboard STRING
copy-to-register	Function	editor	regions	copy-to-register R START END &optional DELETE
cos	Function	lisp	numbers	cos RADIANS
cosh	Function	lisp	numbers	cosh Z
count	Function	lisp	sequences	count ITEM SEQUENCE &key :from-end :test :test-not :start :end :key
count-buffers	Function	editor	buffers	count-buffers &optional ALL
count-column	Function	editor	positions	count-column STRING &optional START BUFFER
count-if	Function	lisp	sequences	count-if TEST SEQUENCE &key :from-end :start :end :key
count-if-not	Function	lisp	sequences	count-if-not TEST SEQUENCE &key :from-end :start :end :key
count-windows	Function	editor	windows	count-windows &optional MINIBUF
count-xyzzy-instance	Function	editor	processes	count-xyzzy-instance
create-archive	Function	editor	filesystem	create-archive ARCHIVE-FILE FILES BASE-DIRECTORY
create-directory	Function	lisp	filesystem	create-directory DIRNAME &key :if-exists
create-file-buffer	Function	editor	buffers	create-file-buffer FILENAME
create-menu	Function	editor	menus	create-menu &optional TAG
create-new-buffer	Function	editor	buffers	create-new-buffer NAME
create-popup-menu	Function	editor	menus	create-popup-menu &optional TAG
create-shortcut	Function	editor	filesystem	create-shortcut SRC DEST &rest REST
create-shortcut-to-desktop	Function	editor	filesystem	create-shortcut-to-desktop PATH &rest REST
create-tab-bar	Function	editor	menus	create-tab-bar BAR CALLBACK
create-tool-bar	Function	editor	menus	create-tool-bar NAME BITMAP ITEMS
ctl-x-4-map	Variable	editor	keymaps	-
ctl-x-4-prefix	Function	editor	keymaps	ctl-x-4-prefix
ctl-x-6-map	Variable	editor	keymaps	-
ctl-x-6-prefix	Function	editor	keymaps	ctl-x-6-prefix
ctl-x-map	Variable	editor	keymaps	-
ctl-x-prefix	Function	editor	keymaps	ctl-x-prefix
current-column	Function	editor	positions	current-column
current-line-columns	Function	editor	positions	current-line-columns
current-line-number	Function	editor	positions	current-line-number
